id,group_id,session_number,order_in_session,motives
1,3,2,4,Fork
1,4,2,17,Fork
2,3,2,11,Undermining
2,4,2,19,Undermining
3,3,2,18,Pin
3,4,2,13,Pin
4,3,3,0,Fork
4,4,3,3,Fork
5,3,3,3,Fork
5,4,3,9,Fork
6,3,4,2,Fork
6,4,4,6,Fork
7,3,5,0,Fork
7,4,5,2,Fork
8,3,4,6,Fork
8,4,4,8,Fork
9,3,3,5,Fork
9,4,3,17,Fork
10,3,3,14,Pin
10,4,3,8,Pin
11,3,3,17,Pin
11,4,3,14,Pin
12,3,4,16,Pin
12,4,4,5,Pin
13,3,5,14,Pin
13,4,5,5,Pin
14,3,4,20,Pin
14,4,4,3,Pin
15,3,3,19,Pin
15,4,3,16,Pin
16,3,3,7,Undermining
16,4,3,0,Undermining
17,3,3,10,Undermining
17,4,3,10,Undermining
18,3,4,9,Undermining
18,4,4,2,Undermining
19,3,5,7,Undermining
19,4,5,0,Undermining
20,3,4,13,Undermining
20,4,4,11,Undermining
21,3,3,12,Undermining
21,4,3,20,Undermining
22,3,5,1,Fork
22,4,5,4,Fork
23,3,2,2,Fork
23,4,2,9,Fork
24,3,2,0,Fork
24,4,2,5,Fork
25,3,5,2,Fork
25,4,5,7,Fork
26,3,3,4,Fork
26,4,3,5,Fork
27,3,2,5,Fork
27,4,2,7,Fork
28,1,1,1,Fork
28,1,2,1,Fork
28,1,3,1,Fork
28,1,4,1,Fork
28,1,5,1,Fork
28,2,1,5,Fork
28,2,4,7,Fork
28,2,5,8,Fork
28,2,3,14,Fork
28,2,2,15,Fork
28,3,1,1,Fork
28,4,1,5,Fork
29,3,4,4,Fork
29,4,4,0,Fork
30,1,1,4,Fork
30,1,2,4,Fork
30,1,3,4,Fork
30,1,4,4,Fork
30,1,5,4,Fork
30,2,2,1,Fork
30,2,3,2,Fork
30,2,5,6,Fork
30,2,4,14,Fork
30,2,1,17,Fork
30,3,1,4,Fork
30,4,1,17,Fork
31,3,5,3,Fork
31,4,5,15,Fork
32,3,3,6,Fork
32,4,3,19,Fork
33,3,5,4,Fork
33,4,5,9,Fork
34,1,1,6,Fork
34,1,2,6,Fork
34,1,3,6,Fork
34,1,4,6,Fork
34,1,5,6,Fork
34,2,1,7,Fork
34,2,5,14,Fork
34,2,3,18,Fork
34,2,4,18,Fork
34,2,2,19,Fork
34,3,1,6,Fork
34,4,1,7,Fork
35,3,2,6,Fork
35,4,2,3,Fork
36,1,1,3,Fork
36,1,2,3,Fork
36,1,3,3,Fork
36,1,4,3,Fork
36,1,5,3,Fork
36,2,2,3,Fork
36,2,3,12,Fork
36,2,5,12,Fork
36,2,1,13,Fork
36,2,4,20,Fork
36,3,1,3,Fork
36,4,1,13,Fork
37,3,4,5,Fork
37,4,4,10,Fork
38,3,4,0,Fork
38,4,4,17,Fork
39,1,1,2,Fork
39,1,2,2,Fork
39,1,3,2,Fork
39,1,4,2,Fork
39,1,5,2,Fork
39,2,5,2,Fork
39,2,4,3,Fork
39,2,2,5,Fork
39,2,3,10,Fork
39,2,1,11,Fork
39,3,1,2,Fork
39,4,1,11,Fork
40,3,3,2,Fork
40,4,3,7,Fork
41,1,1,0,Fork
41,1,2,0,Fork
41,1,3,0,Fork
41,1,4,0,Fork
41,1,5,0,Fork
41,2,5,0,Fork
41,2,1,2,Fork
41,2,2,13,Fork
41,2,3,16,Fork
41,2,4,16,Fork
41,3,1,0,Fork
41,4,1,2,Fork
42,3,2,3,Fork
42,4,2,14,Fork
43,3,5,5,Fork
43,4,5,13,Fork
44,1,1,5,Fork
44,1,2,5,Fork
44,1,3,5,Fork
44,1,4,5,Fork
44,1,5,5,Fork
44,2,3,0,Fork
44,2,4,1,Fork
44,2,5,4,Fork
44,2,1,9,Fork
44,2,2,17,Fork
44,3,1,5,Fork
44,4,1,9,Fork
45,3,3,1,Fork
45,4,3,13,Fork
46,3,4,1,Fork
46,4,4,12,Fork
47,3,2,1,Fork
47,4,2,1,Fork
48,3,4,3,Fork
48,4,4,14,Fork
49,3,5,6,Fork
49,4,5,11,Fork
50,3,5,8,Undermining
50,4,5,6,Undermining
51,3,2,9,Undermining
51,4,2,8,Undermining
52,3,2,7,Undermining
52,4,2,12,Undermining
53,3,5,9,Undermining
53,4,5,16,Undermining
54,3,3,11,Undermining
54,4,3,15,Undermining
55,3,2,12,Undermining
55,4,2,10,Undermining
56,1,1,8,Undermining
56,1,2,8,Undermining
56,1,3,8,Undermining
56,1,4,8,Undermining
56,1,5,8,Undermining
56,2,1,3,Undermining
56,2,4,9,Undermining
56,2,5,16,Undermining
56,2,2,18,Undermining
56,2,3,19,Undermining
56,3,1,8,Undermining
56,4,1,3,Undermining
57,3,4,11,Undermining
57,4,4,4,Undermining
58,1,1,11,Undermining
58,1,2,11,Undermining
58,1,3,11,Undermining
58,1,4,11,Undermining
58,1,5,11,Undermining
58,2,3,3,Undermining
58,2,2,11,Undermining
58,2,5,13,Undermining
58,2,4,17,Undermining
58,2,1,20,Undermining
58,3,1,11,Undermining
58,4,1,20,Undermining
59,3,5,10,Undermining
59,4,5,8,Undermining
60,3,3,13,Undermining
60,4,3,12,Undermining
61,3,5,11,Undermining
61,4,5,20,Undermining
62,1,1,13,Undermining
62,1,2,13,Undermining
62,1,3,13,Undermining
62,1,4,13,Undermining
62,1,5,13,Undermining
62,2,1,0,Undermining
62,2,3,9,Undermining
62,2,5,9,Undermining
62,2,4,11,Undermining
62,2,2,20,Undermining
62,3,1,13,Undermining
62,4,1,0,Undermining
63,3,2,13,Undermining
63,4,2,15,Undermining
64,1,1,10,Undermining
64,1,2,10,Undermining
64,1,3,10,Undermining
64,1,4,10,Undermining
64,1,5,10,Undermining
64,2,2,9,Undermining
64,2,1,14,Undermining
64,2,3,15,Undermining
64,2,4,15,Undermining
64,2,5,18,Undermining
64,3,1,10,Undermining
64,4,1,14,Undermining
65,3,4,12,Undermining
65,4,4,16,Undermining
66,3,4,7,Undermining
66,4,4,9,Undermining
67,1,1,9,Undermining
67,1,2,9,Undermining
67,1,3,9,Undermining
67,1,4,9,Undermining
67,1,5,9,Undermining
67,2,4,0,Undermining
67,2,3,13,Undermining
67,2,2,14,Undermining
67,2,1,18,Undermining
67,2,5,20,Undermining
67,3,1,9,Undermining
67,4,1,18,Undermining
68,3,3,9,Undermining
68,4,3,4,Undermining
69,1,1,7,Undermining
69,1,2,7,Undermining
69,1,3,7,Undermining
69,1,4,7,Undermining
69,1,5,7,Undermining
69,2,5,1,Undermining
69,2,4,5,Undermining
69,2,3,7,Undermining
69,2,1,12,Undermining
69,2,2,16,Undermining
69,3,1,7,Undermining
69,4,1,12,Undermining
70,3,2,10,Undermining
70,4,2,0,Undermining
71,3,5,12,Undermining
71,4,5,18,Undermining
72,1,1,12,Undermining
72,1,2,12,Undermining
72,1,3,12,Undermining
72,1,4,12,Undermining
72,1,5,12,Undermining
72,2,3,5,Undermining
72,2,2,7,Undermining
72,2,5,11,Undermining
72,2,4,13,Undermining
72,2,1,16,Undermining
72,3,1,12,Undermining
72,4,1,16,Undermining
73,3,3,8,Undermining
73,4,3,2,Undermining
74,3,4,8,Undermining
74,4,4,20,Undermining
75,3,2,8,Undermining
75,4,2,2,Undermining
76,3,5,15,Pin
76,4,5,17,Pin
77,3,2,16,Pin
77,4,2,20,Pin
78,3,2,14,Pin
78,4,2,4,Pin
79,3,5,16,Pin
79,4,5,1,Pin
80,3,3,18,Pin
80,4,3,1,Pin
81,3,2,19,Pin
81,4,2,16,Pin
82,1,1,15,Pin
82,1,2,15,Pin
82,1,3,15,Pin
82,1,4,15,Pin
82,1,5,15,Pin
82,2,1,1,Pin
82,2,3,1,Pin
82,2,2,8,Pin
82,2,4,12,Pin
82,2,5,17,Pin
82,3,1,15,Pin
82,4,1,1,Pin
83,3,4,18,Pin
83,4,4,7,Pin
84,1,1,18,Pin
84,1,2,18,Pin
84,1,3,18,Pin
84,1,4,18,Pin
84,1,5,18,Pin
84,2,5,3,Pin
84,2,2,6,Pin
84,2,3,6,Pin
84,2,1,19,Pin
84,2,4,19,Pin
84,3,1,18,Pin
84,4,1,19,Pin
85,3,5,17,Pin
85,4,5,14,Pin
86,3,3,20,Pin
86,4,3,6,Pin
87,3,5,18,Pin
87,4,5,3,Pin
88,1,1,20,Pin
88,1,2,20,Pin
88,1,3,20,Pin
88,1,4,20,Pin
88,1,5,20,Pin
88,2,2,4,Pin
88,2,1,8,Pin
88,2,4,8,Pin
88,2,3,11,Pin
88,2,5,15,Pin
88,3,1,20,Pin
88,4,1,8,Pin
89,3,2,20,Pin
89,4,2,6,Pin
90,1,1,17,Pin
90,1,2,17,Pin
90,1,3,17,Pin
90,1,4,17,Pin
90,1,5,17,Pin
90,2,1,6,Pin
90,2,4,6,Pin
90,2,3,8,Pin
90,2,5,10,Pin
90,2,2,12,Pin
90,3,1,17,Pin
90,4,1,6,Pin
91,3,4,19,Pin
91,4,4,19,Pin
92,3,4,14,Pin
92,4,4,15,Pin
93,1,1,16,Pin
93,1,2,16,Pin
93,1,3,16,Pin
93,1,4,16,Pin
93,1,5,16,Pin
93,2,2,0,Pin
93,2,4,2,Pin
93,2,3,4,Pin
93,2,5,7,Pin
93,2,1,15,Pin
93,3,1,16,Pin
93,4,1,15,Pin
94,3,3,16,Pin
94,4,3,18,Pin
95,1,1,14,Pin
95,1,2,14,Pin
95,1,3,14,Pin
95,1,4,14,Pin
95,1,5,14,Pin
95,2,2,2,Pin
95,2,1,4,Pin
95,2,4,10,Pin
95,2,3,17,Pin
95,2,5,19,Pin
95,3,1,14,Pin
95,4,1,4,Pin
96,3,2,17,Pin
96,4,2,11,Pin
97,3,5,19,Pin
97,4,5,10,Pin
98,1,1,19,Pin
98,1,2,19,Pin
98,1,3,19,Pin
98,1,4,19,Pin
98,1,5,19,Pin
98,2,4,4,Pin
98,2,5,5,Pin
98,2,1,10,Pin
98,2,2,10,Pin
98,2,3,20,Pin
98,3,1,19,Pin
98,4,1,10,Pin
99,3,3,15,Pin
99,4,3,11,Pin
100,3,4,15,Pin
100,4,4,13,Pin
101,3,2,15,Pin
101,4,2,18,Pin
102,3,4,17,Pin
102,4,4,1,Pin
103,3,5,20,Pin
103,4,5,19,Pin
104,3,4,10,Undermining
104,4,4,18,Undermining
105,3,5,13,Undermining
105,4,5,12,Undermining
